feature,importance
M17,0.008579314884173073
V13,0.00674946518302022
M4_lag1,0.006652828149526613
S5_roll20_mean,0.006077956680201169
M4,0.005517329592294118
I2,0.004606813651662378
M4_lag2,0.004589019098602876
P9,0.004486280515266117
V7,0.004380135625979165
M12,0.004361919891380239
S2_roll20_mean,0.004298854982380362
S5_lag1,0.004247108063964333
M4_roll5_mean,0.003960118407121627
V13_roll5_mean,0.00338447511967388
P7,0.002895556399380439
S5_roll60_mean,0.0026294421418242564
E9,0.0025387877428784122
V13_roll60_std,0.0023951360753926565
S5,0.002153201960027218
V13_lag10,0.001986943485462689
S2_roll60_mean,0.0017960014579330164
P4,0.0017277309962082654
M11,0.0016769859939813614
P5,0.001559295371407643
S2_roll60_std,0.00152555201202631
V13_roll20_mean,0.0014284280769061297
M2_lag5,0.0013979784089315217
V6,0.0013199188251746818
S5_lag5,0.0013151090097380802
M4_roll5_std,0.0013077159528620541
S2,0.001285433678276604
E20,0.0012704470136668533
E15,0.0011936812675230613
S2_lag5,0.0011107511782029178
I3,0.0011083111057814676
I1,0.0010205389880866278
S7,0.0010175476249969506
P6,0.0010053645819425583
M5,0.0009555699944030493
M2_lag2,0.0009239369974238798
V13_lag1,0.000900305196410045
M8,0.0007733949951216346
V9,0.0006886365081300028
E11,0.0006704878978780471
V13_lag5,0.0006626350004808046
V13_roll20_std,0.0005555649750021985
I4,0.000530167599208653
E19_lag20,0.00049931999456021
S2_roll5_std,0.00042311300057917833
M3,0.0004003142148576444
P8,0.0003890939988195896
I8,0.0003658300047391094
I5,0.00036406400613486767
E18,0.00035749899689108133
V12,0.000326573004713282
E19_lag10,0.00031932900310494006
P12,0.0002981032785385196
M2_roll5_mean,0.00022589600121136755
V5,0.00022074473463362665
E6,0.00019284999871160835
S5_roll5_mean,0.00015917790005914867
V8,0.00015560020256089047
S2_roll20_std,0.00015323510160669684
M4_roll60_std,0.00014083999849390239
E16,0.00013201100227888674
M2_roll60_mean,9.963999764295295e-05
M2_roll20_mean,8.184099715435877e-05
V13_roll60_mean,5.720639819628559e-05
P10,5.5027798225637525e-05
M10,2.8772699806722812e-05
E19,2.4472889890603255e-05
M2_lag1,0.0
I7,0.0
M15,0.0
S5_roll20_std,0.0
S5_roll60_std,0.0
E8,0.0
M16,0.0
E5,0.0
E2,0.0
E17,0.0
M2_roll5_std,0.0
M2_roll20_std,0.0
S5_roll5_std,0.0
M18,0.0
E20_missing,0.0
M7,0.0
V13_roll5_std,0.0
P11,0.0
P2,0.0
M4_roll60_mean,0.0
M4_roll20_std,0.0
M4_roll20_mean,0.0
S1,0.0
S8,0.0
V1,0.0
E10,0.0
E19_lag5,0.0
E1_missing,0.0
E1,0.0
